cost_change_id,제품도번,원가항목,변경일,적용시작일,이전금액,이후금액,변경액,트리거유형,관련자재코드,공급사,근거문서번호
CS0255,P-3010,가공비,2025-10-19,2025-11-02,55.2,56.7,1.5,에너지비,,,
CS0256,P-3010,경비,2025-10-24,2025-11-04,36.0,37.0,1.0,에너지비,,,
CS0257,P-3017,가공비,2025-11-09,2025-11-12,67.3,69.1,1.8,에너지비,,,
CS0258,P-3019,재료비,2025-11-09,2025-11-23,168.0,184.4,16.4,환율,RES-103,도료공급-가,원가2025-0522
CS0259,P-3006,재료비,2025-11-11,2025-11-17,62.9,67.7,4.8,자재단가,RES-111,수지공급-가,원가2025-0713
CS0260,P-3020,가공비,2025-11-14,2025-11-21,56.0,57.6,1.6,공정변경,,,
CS0261,P-3003,재료비,2025-12-25,2025-12-30,142.5,152.7,10.2,환율,RES-103,도료공급-가,원가2025-0644
CS0262,P-3004,인건비,2026-01-01,2026-01-15,40.1,41.3,1.2,최저임금,,,
CS0263,P-3034,재료비,2026-01-01,2026-01-12,160.1,168.8,8.7,자재단가,RES-103,도료공급-가,원가2026-0919
CS0264,P-3010,인건비,2026-01-03,2026-01-10,33.4,34.1,0.7,최저임금,,,
CS0265,P-3033,인건비,2026-01-03,2026-01-08,35.5,36.8,1.3,최저임금,,,
CS0266,P-3028,인건비,2026-01-04,2026-01-13,37.5,38.9,1.4,최저임금,,,
CS0267,P-3023,인건비,2026-01-07,2026-01-12,34.5,35.3,0.8,최저임금,,,
CS0268,P-3026,인건비,2026-01-07,2026-01-15,43.7,45.5,1.8,최저임금,,,
CS0269,P-3030,인건비,2026-01-07,2026-01-10,37.9,39.1,1.2,최저임금,,,
CS0270,P-3003,인건비,2026-01-08,2026-01-18,41.7,42.7,1.0,최저임금,,,
CS0271,P-3007,인건비,2026-01-12,2026-01-24,37.9,39.0,1.1,최저임금,,,
CS0272,P-3009,인건비,2026-01-12,2026-01-23,33.2,34.0,0.8,최저임금,,,
CS0273,P-3011,인건비,2026-01-14,2026-01-16,37.8,38.7,0.9,최저임금,,,
CS0274,P-3021,인건비,2026-01-14,2026-01-24,36.5,37.4,0.9,최저임금,,,
CS0275,P-3022,인건비,2026-01-15,2026-01-16,35.2,36.0,0.8,최저임금,,,
CS0276,P-3005,인건비,2026-01-16,2026-01-20,40.6,41.5,0.9,최저임금,,,
CS0277,P-3032,인건비,2026-01-17,2026-01-25,34.2,35.1,0.9,최저임금,,,
CS0278,P-3016,인건비,2026-01-18,2026-01-27,39.9,41.5,1.6,최저임금,,,
CS0279,P-3018,인건비,2026-01-19,2026-01-29,39.4,40.3,0.9,최저임금,,,
CS0280,P-3023,재료비,2026-02-01,2026-02-09,144.6,159.0,14.4,자재단가,RES-101,도료공급-나,원가2026-0204
CS0281,P-3018,재료비,2026-02-03,2026-02-13,152.9,168.5,15.6,환율,RES-110,수지공급-가,원가2026-0590
CS0282,P-3019,재료비,2026-02-03,2026-02-17,184.4,199.6,15.2,자재단가,RES-101,도료공급-나,원가2026-0557
CS0283,P-3034,재료비,2026-02-05,2026-02-09,168.8,185.1,16.3,환율,RES-102,도료공급-나,원가2026-0964
CS0284,P-3032,재료비,2026-02-07,2026-02-16,17.4,19.6,2.2,자재단가,RES-104,도료공급-나,원가2026-0657
CS0285,P-3003,재료비,2026-02-09,2026-02-09,152.7,164.5,11.8,자재단가,RES-112,수지공급-나,원가2026-0884
CS0286,P-3004,재료비,2026-02-21,2026-03-07,34.2,37.8,3.6,자재단가,RES-102,도료공급-나,원가2026-0373
CS0287,P-3034,재료비,2026-02-28,2026-03-11,185.1,195.2,10.1,환율,RES-101,도료공급-나,원가2026-0764
CS0288,P-3004,재료비,2026-03-02,2026-03-03,37.8,39.8,2.0,환율,RES-109,수지공급-나,원가2026-0457
CS0289,P-3016,재료비,2026-03-06,2026-03-08,44.9,48.0,3.1,자재단가,RES-106,도료공급-가,원가2026-0440
CS0290,P-3018,재료비,2026-03-16,2026-03-27,168.5,177.1,8.6,환율,RES-107,도료공급-가,원가2026-0910
CS0291,P-3023,재료비,2026-03-16,2026-03-24,159.0,166.4,7.4,자재단가,RES-104,도료공급-나,원가2026-0257
CS0292,P-3021,재료비,2026-03-18,2026-03-20,28.3,31.2,2.9,환율,RES-102,도료공급-나,원가2026-0684
CS0293,P-3028,재료비,2026-03-18,2026-03-23,56.8,53.3,-3.5,자재단가,RES-103,도료공급-가,원가2026-0382
CS0294,P-3032,재료비,2026-03-26,2026-03-30,19.6,21.8,2.2,자재단가,RES-111,수지공급-가,원가2026-0302
CS0295,P-3016,재료비,2026-03-29,2026-04-03,48.0,52.6,4.6,자재단가,RES-105,도료공급-나,원가2026-0185
CS0296,P-3026,재료비,2026-04-01,2026-04-13,123.1,131.8,8.7,자재단가,RES-103,도료공급-가,원가2026-0985
CS0297,P-3034,재료비,2026-04-02,2026-04-12,195.2,209.4,14.2,환율,RES-104,도료공급-나,원가2026-0089
CS0298,P-3016,재료비,2026-04-03,2026-04-09,52.6,55.6,3.0,환율,RES-103,도료공급-가,원가2026-0639
CS0299,P-3003,재료비,2026-04-09,2026-04-22,164.5,179.2,14.7,환율,RES-103,도료공급-가,원가2026-0963
CS0300,P-3032,재료비,2026-04-10,2026-04-11,21.8,22.8,1.0,환율,RES-104,도료공급-나,원가2026-0847
CS0301,P-3032,재료비,2026-04-12,2026-04-21,22.8,24.9,2.1,자재단가,RES-112,수지공급-나,원가2026-0930
CS0302,P-3028,재료비,2026-04-17,2026-04-20,53.3,55.1,1.8,환율,RES-109,수지공급-나,원가2026-0711
CS0303,P-3034,재료비,2026-04-21,2026-05-03,209.4,195.7,-13.7,자재단가,RES-107,도료공급-가,원가2026-0216
CS0304,P-3013,재료비,2026-05-06,2026-05-11,119.1,124.1,5.0,자재단가,RES-109,수지공급-나,원가2026-0061
CS0305,P-3009,재료비,2026-05-23,2026-05-28,58.0,62.7,4.7,환율,RES-102,도료공급-나,원가2026-0333
CS0306,P-3013,재료비,2026-05-23,2026-05-23,124.1,135.8,11.7,환율,RES-101,도료공급-나,원가2026-0809
CS0307,P-3013,재료비,2026-05-30,2026-06-08,135.8,149.1,13.3,환율,RES-102,도료공급-나,원가2026-0191
CS0308,P-3002,재료비,2026-05-31,2026-06-05,55.5,59.5,4.0,환율,RES-104,도료공급-나,원가2026-0157
CS0309,P-3009,재료비,2026-06-02,2026-06-09,62.7,66.5,3.8,환율,RES-105,도료공급-나,원가2026-0633
CS0310,P-3031,재료비,2026-06-02,2026-06-04,28.0,30.9,2.9,자재단가,RES-101,도료공급-나,원가2026-0149
CS0311,P-3021,재료비,2026-06-08,2026-06-17,31.2,32.8,1.6,환율,RES-104,도료공급-나,원가2026-0201
CS0312,P-3002,재료비,2026-06-18,2026-07-01,59.5,62.4,2.9,자재단가,RES-111,수지공급-가,원가2026-0883
CS0313,P-3031,재료비,2026-06-29,2026-07-06,30.9,33.4,2.5,환율,RES-112,수지공급-나,원가2026-0535
